epoch,training_loss
1,0.23836799
2,0.234621212
3,0.215233654
4,0.214039102
5,0.199193239
6,0.194341004
7,0.184305757
8,0.183802605
9,0.182752013
10,0.165425539
11,0.165517911
12,0.172722682
13,0.1713586
14,0.168621883
15,0.145870164
16,0.145701036
17,0.154863045
18,0.151803583
19,0.139108166
20,0.136955276
21,0.135786027
22,0.126093075
23,0.138093367
24,0.142736629
25,0.135660544
26,0.133352384
27,0.122429803
28,0.137814909
29,0.154665843
30,0.151890755
31,0.137256548
32,0.148158774
33,0.139616951
34,0.136567369
35,0.172509313
36,0.112678878
37,0.159922123
38,0.136994213
39,0.147995502
40,0.185412437
41,0.180661649
42,0.162436932
43,0.16471684
44,0.173486307
45,0.180645615
46,0.162510663
47,0.190654159
48,0.175731495
49,0.17835927
50,0.205185175
51,0.175728172
52,0.203762323
53,0.227572501
54,0.234294772
55,0.184250206
56,0.218752772
57,0.237522662
58,0.213534951
59,0.199230433
60,0.257277787
61,0.265489817
62,0.215070099
63,0.238277957
64,0.250983834
65,0.200782865
66,0.351769507
67,0.336087018
68,0.273804963
69,0.281231403
70,0.263985097
71,0.289046526
72,0.323744059
73,0.387878001
74,0.264908403
75,0.307987958
76,0.424460709
77,0.322925627
78,0.413126916
79,0.324286819
80,0.456325889
81,0.357346982
82,0.330059052
83,0.304730475
84,0.422912508
85,0.411022544
86,0.346679121
87,0.379982382
88,0.319891572
89,0.300697207
90,0.380334824
91,0.480262816
92,0.330868244
93,0.423409253
94,0.299467087
95,0.391708195
96,0.358050734
97,0.365804344
98,0.469659865
99,0.380393088
100,0.32281816
101,0.332384944
102,0.484247357
103,0.357012928
104,0.411615252
105,0.435389727
106,0.486325204
107,0.435007274
108,0.364753366
109,0.407086611
110,0.432309836
111,0.358430564
112,0.344458163
113,0.368923843
114,0.351643443
115,0.333978325
116,0.372050941
117,0.394228488
118,0.52122128
119,0.392497063
120,0.261056423
121,0.424093723
122,0.306833476
123,0.38974601
124,0.31560275
125,0.403003991
126,0.295456946
127,0.382801771
128,0.302645206
129,0.258091718
130,0.382537246
131,0.452467889
132,0.386485398
133,0.381474793
134,0.309475392
135,0.419341415
136,0.261191577
137,0.318939388
138,0.375915289
139,0.443923563
140,0.406319648
141,0.429720879
142,0.316439152
143,0.277306885
144,0.357255697
145,0.346087158
146,0.317235917
147,0.349847198
148,0.28468293
149,0.377365351
150,0.42328915
151,0.393424481
152,0.362106353
153,0.352372855
154,0.35712406
155,0.392961621
156,0.343231708
157,0.359679878
158,0.405193627
159,0.33939153
160,0.284543395
161,0.310743362
162,0.411257178
163,0.234065503
164,0.311756581
165,0.331184924
166,0.465065479
167,0.44438985
168,0.3285909
169,0.396033317
170,0.292373687
171,0.392299592
172,0.407502055
173,0.354310632
174,0.401783824
175,0.397280604
176,0.410873413
177,0.330170244
178,0.366019011
179,0.286243975
180,0.54024452
181,0.203465551
182,0.486519188
183,0.363611013
184,0.316131532
185,0.384533584
186,0.271536291
187,0.34898147
188,0.37846306
189,0.256627202
190,0.32097888
191,0.335594833
192,0.336452723
193,0.347719133
194,0.35326463
195,0.280366063
196,0.315820634
197,0.409982383
198,0.363965183
199,0.381490767
200,0.287169963
